# constituency_access_raw.csv
# REAL DATA -- household electricity access % by constituency, all 47
# counties, 2019 Kenya Population and Housing Census figures as compiled
# and published by Stats Kenya:
# https://statskenya.co.ke/at-stats-kenya/about/kenya-access-to-electricity-by-constituency-stats-kenya/82/
county,constituency,access_pct
Mombasa,Kisauni,83.1
Mombasa,Nyali,88.3
Mombasa,Jomvu,81.8
Mombasa,Changamwe,88.5
Mombasa,Mvita,91.3
Mombasa,Likoni,87.2
Kwale,Kinango,16.8
Kwale,Matuga,30.9
Kwale,Msambweni,60.5
Kwale,Lungalunga,14.9
Kilifi,Magarini,15.3
Kilifi,Malindi,57.6
Kilifi,Ganze,5.9
Kilifi,Kilifi North,42.8
Kilifi,Kilifi South,55.7
Kilifi,Kaloleni,32.8
Kilifi,Rabai,35
Tana River,Bura,29.9
Tana River,Galole,31.5
Tana River,Garsen,17.4
Lamu,Lamu East,59.3
Lamu,Lamu West,41.2
Taita Taveta,Voi,60.4
Taita Taveta,Wundanyi,46.2
Taita Taveta,Mwatate,40.6
Taita Taveta,Taveta,39.1
Garissa,Lagdera,4.1
Garissa,Balambala,11.4
Garissa,Daadab,7.6
Garissa,Garissa Township,89.4
Garissa,Fafi,10.8
Garissa,Ijara,9.6
Wajir,Wajir North,9.9
Wajir,Eldas,9
Wajir,Tarbaj,0.9
Wajir,Wajir East,47.8
Wajir,Wajir West,8.1
Wajir,Wajir South,10.3
Mandera,Mandera East,48.1
Mandera,Lafey,1.7
Mandera,Mandera South,19.4
Mandera,Mandera North,4.7
Mandera,Banisa,0.8
Mandera,Mandera West,8.2
Marsabit,North Horr,1
Marsabit,Laisamis,1.3
Marsabit,Saku,50.3
Marsabit,Moyale,32.2
Isiolo,Isiolo North,51.8
Isiolo,Isiolo South,16
Meru,Igembe North,19.2
Meru,Igembe Central,22.3
Meru,Igembe South,36.9
Meru,Tigania East,19.4
Meru,Tigania West,24
Meru,North Imenti,73.6
Meru,Buuri,48.5
Meru,Central Imenti,45.3
Meru,South Imenti,54.6
Tharaka Nithi,Maara,47.6
Tharaka Nithi,Chuka/Igambang'Ombe,45.8
Tharaka Nithi,Tharaka,7.9
Embu,Runyenjes,53.9
Embu,Manyatta,73.4
Embu,Mbeere North,22.3
Embu,Mbeere South,22.8
Kitui,Mwingi North,5.2
Kitui,Mwingi Central,21.5
Kitui,Mwingi West,13.1
Kitui,Kitui East,12.2
Kitui,Kitui Central,40.6
Kitui,Kitui West,22.3
Kitui,Kitui Rural,10.9
Kitui,Kitui South,6.3
Machakos,Masinga,13
Machakos,Yatta,23.9
Machakos,Mwala,19.4
Machakos,Matungulu,37.5
Machakos,Kangundo,37
Machakos,Kathiani,34.6
Machakos,Mavoko,84.7
Machakos,Machakos,60.5
Makueni,Mbooni,12
Makueni,Kaiti,15.9
Makueni,Kilome,25.4
Makueni,Makueni,22.1
Makueni,Kibwezi West,29.7
Makueni,Kibwezi East,16.3
Nyandarua,Ndaragwa,30.8
Nyandarua,Ol Jorok,48.1
Nyandarua,Ol Kalou,48.2
Nyandarua,Kipipiri,26.3
Nyandarua,Kinangop,45.7
Nyeri,Kieni,51.1
Nyeri,Mathira,76.8
Nyeri,Mukurweini,66.1
Nyeri,Nyeri Town,88.8
Nyeri,Tetu,77.9
Nyeri,Othaya,82.3
Kirinyaga,Gichugu,69.7
Kirinyaga,Kirinyaga Central,75.5
Kirinyaga,Ndia,61.9
Kirinyaga,Mwea,61.3
Murang'a,Mathioya,60.3
Murang'a,Kangema,58.2
Murang'a,Kigumo,57.5
Murang'a,Gatanga,60.3
Murang'a,Kiharu,61.3
Murang'a,Kandara,67.4
Murang'a,Maragwa,56.8
Kiambu,Thika Town,92.7
Kiambu,Juja,91.2
Kiambu,Ruiru,95.5
Kiambu,Gatundu North,80.6
Kiambu,Gatundu South,90.7
Kiambu,Githunguri,89.2
