county,population_2019,population_2023
Nairobi,4397073,4434756
Kiambu,2417735,2652880
Nakuru,2162202,2347849
Kakamega,1867579,2002435
Bungoma,1670570,1786973
Meru,1545714,1625982
Kilifi,1453787,1577335
Machakos,1421932,1487758
Kisii,1266860,1344907
Mombasa,1208333,1311860
Narok,1157873,1284204
Kajiado,1117840,1268261
Uasin Gishu,1163186,1257330
Kisumu,1155574,1248474
Migori,1116436,1234082
Homa Bay,1131950,1231659
Kitui,1136187,1229790
Murang'a,1056640,1112288
Trans Nzoia,990341,1069039
Siaya,993183,1059458
Makueni,987653,1042300
Turkana,926976,1022773
Busia,893681,968763
Mandera,867457,959236
Kericho,901777,954896
Nandi,885711,951460
Kwale,866820,944464
Bomet,875689,939761
Garissa,841353,927031
Wajir,781263,870636
Nyeri,759164,835408
Baringo,666763,733333
Nyandarua,638289,695531
West Pokot,621241,676326
Nyamira,605576,657502
Kirinyaga,610411,653112
Embu,608599,648425
Vihiga,590013,625765
Laikipia,518560,561223
Marsabit,459785,515292
Elgeyo Marakwet,454480,495239
Tharaka Nithi,393177,416383
Taita Taveta,340671,363990
Tana River,315943,352549
Samburu,310327,348298
Isiolo,268002,315937
Lamu,143920,167332
