county,constituency,access_pct
Mandera,Banisa,0.8
Wajir,Tarbaj,0.9
Marsabit,North Horr,1.0
Marsabit,Laisamis,1.3
Turkana,Loima,1.4
Turkana,Turkana East,1.5
Turkana,Turkana North,1.6
Mandera,Lafey,1.7
West Pokot,Kacheliba,1.7
West Pokot,Sigor,2.1
Baringo,Tiaty,2.5
Turkana,Turkana West,4.1
Garissa,Lagdera,4.1
Samburu,Samburu North,4.4
Mandera,Mandera North,4.7
Kitui,Mwingi North,5.2
Kilifi,Ganze,5.9
Turkana,Turkana South,6.1
Kitui,Kitui South,6.3
Narok,Narok West,6.6
Homa Bay,Ndhiwa,7.5
Garissa,Daadab,7.6
Tharaka Nithi,Tharaka,7.9
Wajir,Wajir West,8.1
Mandera,Mandera West,8.2
Bomet,Chepalungu,8.9
Elgeyo Marakwet,Marakwet East,8.9
Narok,Emurua Dikirr,8.9
Migori,Kuria East,9.0
Wajir,Eldas,9.0
