county,population_2019,population_2023,electrification_rate_pct,solar_tier,ghi_est_kwh_m2_day,kosap_designated,unelectrified_population,access_gap_pct,opportunity_score
Turkana,926976,1022773,6.883333333333333,arid_north_high,6.9,1,952372,93.1,0.862
Mandera,867457,959236,13.816666666666668,arid_north_high,6.7,1,826702,86.2,0.788
Narok,1157873,1284204,17.7,moderate,6.0,1,1056900,82.3,0.774
Wajir,781263,870636,14.333333333333334,arid_north_high,6.7,1,745845,85.7,0.767
Garissa,841353,927031,22.150000000000002,arid_north_high,6.6,1,721694,77.8,0.722
West Pokot,621241,676326,10.1,arid_north_high,6.3,1,608017,89.9,0.718
Kilifi,1453787,1577335,35.01428571428571,coastal,6.0,1,1025042,65.0,0.699
Marsabit,459785,515292,21.2,arid_north_high,6.8,1,406050,78.8,0.665
Kakamega,1867579,2002435,24.025000000000002,highland_low,5.4,0,1521350,76.0,0.665
Bungoma,1670570,1786973,20.1,highland_low,5.4,0,1427791,79.9,0.657
Samburu,310327,348298,12.799999999999999,arid_north_high,6.5,1,303716,87.2,0.649
Kitui,1136187,1229790,16.5125,arid_north_high,6.2,0,1026721,83.5,0.637
Kwale,866820,944464,30.775000000000002,coastal,6.0,1,653805,69.2,0.625
Tana River,315943,352549,26.266666666666666,arid_north_high,6.4,1,259946,73.7,0.578
Homa Bay,1131950,1231659,19.4,lake_basin,5.7,0,992717,80.6,0.578
Makueni,987653,1042300,20.233333333333334,moderate,6.1,0,831408,79.8,0.567
Isiolo,268002,315937,33.9,arid_north_high,6.6,1,208834,66.1,0.552
Migori,1116436,1234082,23.475,lake_basin,5.7,0,944381,76.5,0.55
Siaya,993183,1059458,19.233333333333334,lake_basin,5.7,0,855689,80.8,0.545
Machakos,1421932,1487758,38.825,moderate,6.0,0,910136,61.2,0.506
Meru,1545714,1625982,38.2,highland_low,5.5,0,1004857,61.8,0.492
Baringo,666763,733333,27.766666666666666,arid_north_high,6.3,0,529711,72.2,0.48
Busia,893681,968763,25.957142857142856,lake_basin,5.6,0,717300,74.0,0.477
Taita Taveta,340671,363990,46.575,arid_north_high,6.2,1,194462,53.4,0.467
Bomet,875689,939761,21.94,highland_low,5.2,0,733577,78.1,0.466
Nakuru,2162202,2347849,58.46363636363637,moderate,5.9,0,975211,41.5,0.437
Kisii,1266860,1344907,37.86666666666667,highland_low,5.2,0,835636,62.1,0.428
Nandi,885711,951460,29.733333333333334,highland_low,5.3,0,668559,70.3,0.427
Lamu,143920,167332,50.25,coastal,6.1,1,83248,49.8,0.418
Trans Nzoia,990341,1069039,35.86,highland_low,5.3,0,685682,64.1,0.407
Kisumu,1155574,1248474,47.271428571428565,lake_basin,5.7,0,658303,52.7,0.388
Elgeyo Marakwet,454480,495239,24.825,highland_low,5.3,0,372296,75.2,0.374
Laikipia,518560,561223,37.93333333333333,highland_low,5.6,0,348332,62.1,0.341
Kajiado,1117840,1268261,58.160000000000004,moderate,6.0,0,530640,41.8,0.338
Kericho,901777,954896,42.43333333333333,highland_low,5.1,0,549702,57.6,0.333
Tharaka Nithi,393177,416383,33.766666666666666,highland_low,5.5,0,275784,66.2,0.331
Vihiga,590013,625765,38.04,highland_low,5.3,0,387724,62.0,0.326
Embu,608599,648425,43.1,highland_low,5.4,0,368954,56.9,0.31
Nyandarua,638289,695531,39.82000000000001,highland_low,5.0,0,418571,60.2,0.303
Nyamira,605576,657502,42.875,highland_low,5.2,0,375598,57.1,0.296
Uasin Gishu,1163186,1257330,63.38333333333333,highland_low,5.4,0,460392,36.6,0.253
Murang'a,1056640,1112288,60.25714285714286,highland_low,5.2,0,442055,39.7,0.245
Kirinyaga,610411,653112,67.1,highland_low,5.1,0,214874,32.9,0.155
Mombasa,1208333,1311860,86.7,coastal,6.0,0,174477,13.3,0.14
Nyeri,759164,835408,73.83333333333333,highland_low,5.2,0,218598,26.2,0.138
Nairobi,4397073,4434756,96.60000000000001,moderate,5.8,0,150782,3.4,0.08
Kiambu,2417735,2652880,90.70833333333333,highland_low,5.2,0,246497,9.3,0.079
